Date;Senftenberg IV Janitza UMG 104 AC Power L1234 [W] [avg];
01.01.2024 00:15:00;;
01.01.2024 00:30:00;;
01.01.2024 00:45:00;;
01.01.2024 01:00:00;126,471.00;
01.01.2024 01:15:00;124,282.47;
01.01.2024 01:30:00;124,634.40;
01.01.2024 01:45:00;125,666.67;
01.01.2024 02:00:00;124,478.07;
01.01.2024 02:15:00;123,851.20;
01.01.2024 02:30:00;123,266.00;
01.01.2024 02:45:00;123,644.87;
01.01.2024 03:00:00;123,324.60;
01.01.2024 03:15:00;122,142.40;
01.01.2024 03:30:00;123,438.20;
01.01.2024 03:45:00;122,619.93;
01.01.2024 04:00:00;122,064.93;
01.01.2024 04:15:00;122,208.20;
01.01.2024 04:30:00;121,664.80;
01.01.2024 04:45:00;122,674.60;
01.01.2024 05:00:00;122,850.93;
01.01.2024 05:15:00;122,428.60;
01.01.2024 05:30:00;123,124.13;
01.01.2024 05:45:00;123,527.87;
01.01.2024 06:00:00;123,420.80;
01.01.2024 06:15:00;125,835.47;
01.01.2024 06:30:00;125,148.87;
01.01.2024 06:45:00;125,673.87;
01.01.2024 07:00:00;124,871.60;
01.01.2024 07:15:00;123,821.47;
01.01.2024 07:30:00;123,875.87;
01.01.2024 07:45:00;124,166.33;
01.01.2024 08:00:00;123,038.73;
01.01.2024 08:15:00;126,306.53;
01.01.2024 08:30:00;87,392.19;
01.01.2024 08:45:00;-372,042.65;
01.01.2024 09:00:00;-2,055,206.53;
01.01.2024 09:15:00;-4,336,078.67;
01.01.2024 09:30:00;-8,110,194.67;
01.01.2024 09:45:00;-6,621,046.67;
01.01.2024 10:00:00;-11,019,546.67;
01.01.2024 10:15:00;-8,657,007.33;
01.01.2024 10:30:00;-12,060,356.67;
01.01.2024 10:45:00;-6,826,633.33;
01.01.2024 11:00:00;-6,324,558.00;
01.01.2024 11:15:00;-5,166,665.33;
01.01.2024 11:30:00;-5,970,646.67;
01.01.2024 11:45:00;-7,493,956.00;
01.01.2024 12:00:00;-8,746,832.67;
01.01.2024 12:15:00;-8,843,829.33;
01.01.2024 12:30:00;-4,504,865.33;
01.01.2024 12:45:00;-5,621,816.67;
01.01.2024 13:00:00;-2,954,552.67;
01.01.2024 13:15:00;-1,414,593.33;
01.01.2024 13:30:00;-5,366,719.33;
01.01.2024 13:45:00;-8,078,730.67;
01.01.2024 14:00:00;-4,195,576.00;
01.01.2024 14:15:00;-5,822,786.00;
01.01.2024 14:30:00;-3,762,256.67;
01.01.2024 14:45:00;-3,793,490.00;
01.01.2024 15:00:00;-4,210,412.00;
01.01.2024 15:15:00;-3,205,000.00;
01.01.2024 15:30:00;-1,094,281.07;
01.01.2024 15:45:00;-385,782.59;
01.01.2024 16:00:00;118,617.05;
01.01.2024 16:15:00;130,680.20;
