Date;Wülknitz Janitza UMG 104 AC Power L1234 [W] [avg];
01.01.2025 00:15:00;39,733.30667;
01.01.2025 00:30:00;39,263.46667;
01.01.2025 00:45:00;38,906.78667;
01.01.2025 01:00:00;39,735.40000;
01.01.2025 01:15:00;39,270.38667;
01.01.2025 01:30:00;38,772.62667;
01.01.2025 01:45:00;39,081.64000;
01.01.2025 02:00:00;39,658.01333;
01.01.2025 02:15:00;40,019.84667;
01.01.2025 02:30:00;40,054.67333;
01.01.2025 02:45:00;40,522.40667;
01.01.2025 03:00:00;39,763.33333;
01.01.2025 03:15:00;39,552.39333;
01.01.2025 03:30:00;38,536.54000;
01.01.2025 03:45:00;38,279.08667;
01.01.2025 04:00:00;38,604.22667;
01.01.2025 04:15:00;40,074.37333;
01.01.2025 04:30:00;39,233.40667;
01.01.2025 04:45:00;39,520.16667;
01.01.2025 05:00:00;39,529.96667;
01.01.2025 05:15:00;38,885.41333;
01.01.2025 05:30:00;39,452.78000;
01.01.2025 05:45:00;39,137.50000;
01.01.2025 06:00:00;38,748.88667;
01.01.2025 06:15:00;39,248.24000;
01.01.2025 06:30:00;39,496.66000;
01.01.2025 06:45:00;38,912.15333;
01.01.2025 07:00:00;38,944.58667;
01.01.2025 07:15:00;39,508.94000;
01.01.2025 07:30:00;38,889.25333;
01.01.2025 07:45:00;38,969.64000;
01.01.2025 08:00:00;38,771.59333;
01.01.2025 08:15:00;34,933.91333;
01.01.2025 08:30:00;17,922.94000;
01.01.2025 08:45:00;-157,641.82667;
01.01.2025 09:00:00;-376,381.86667;
01.01.2025 09:15:00;-648,857.93333;
01.01.2025 09:30:00;-656,358.26667;
01.01.2025 09:45:00;-585,444.06667;
01.01.2025 10:00:00;-601,477.46667;
01.01.2025 10:15:00;-621,645.60000;
01.01.2025 10:30:00;-707,990.26667;
01.01.2025 10:45:00;-770,364.66667;
01.01.2025 11:00:00;-967,413.13333;
01.01.2025 11:15:00;-1,092,444.53333;
01.01.2025 11:30:00;-2,175,644.66667;
01.01.2025 11:45:00;-3,414,888.00000;
01.01.2025 12:00:00;-4,068,933.57143;
01.01.2025 12:15:00;-3,803,130.66667;
01.01.2025 12:30:00;-1,621,530.66667;
01.01.2025 12:45:00;-2,222,053.33333;
01.01.2025 13:00:00;-2,431,952.66667;
01.01.2025 13:15:00;-1,967,464.66667;
01.01.2025 13:30:00;-1,835,524.00000;
01.01.2025 13:45:00;-1,011,261.86667;
01.01.2025 14:00:00;-701,177.13333;
01.01.2025 14:15:00;-556,674.73333;
01.01.2025 14:30:00;-473,428.46667;
01.01.2025 14:45:00;-376,281.53333;
01.01.2025 15:00:00;-270,881.00000;
01.01.2025 15:15:00;-195,876.86667;
01.01.2025 15:30:00;-115,285.88667;
01.01.2025 15:45:00;-38,949.56933;
01.01.2025 16:00:00;24,700.31467;
01.01.2025 16:15:00;38,521.30000;
01.01.2025 16:30:00;38,993.72000;
01.01.2025 16:45:00;38,374.23333;
01.01.2025 17:00:00;38,631.71333;
01.01.2025 17:15:00;39,090.19333;
01.01.2025 17:30:00;39,708.60667;
01.01.2025 17:45:00;39,168.08667;
01.01.2025 18:00:00;39,002.44667;
01.01.2025 18:15:00;39,311.70667;
01.01.2025 18:30:00;39,602.74000;
01.01.2025 18:45:00;39,350.53333;
01.01.2025 19:00:00;39,504.67333;
01.01.2025 19:15:00;39,621.54000;
01.01.2025 19:30:00;39,819.53333;
01.01.2025 19:45:00;39,544.73333;
01.01.2025 20:00:00;39,847.92667;
01.01.2025 20:15:00;40,333.40000;
01.01.2025 20:30:00;39,707.53333;
01.01.2025 20:45:00;39,528.52000;
01.01.2025 21:00:00;39,315.86000;
01.01.2025 21:15:00;39,976.25333;
01.01.2025 21:30:00;39,247.76000;
01.01.2025 21:45:00;39,893.66000;
01.01.2025 22:00:00;39,703.06000;
01.01.2025 22:15:00;39,680.96000;
01.01.2025 22:30:00;38,736.14000;
01.01.2025 22:45:00;39,088.32000;
01.01.2025 23:00:00;38,680.38667;
01.01.2025 23:15:00;39,513.10000;
01.01.2025 23:30:00;38,928.16000;
01.01.2025 23:45:00;39,059.99333;
02.01.2025 00:00:00;38,812.19333;
02.01.2025 00:15:00;40,450.81333;
02.01.2025 00:30:00;38,636.92000;
02.01.2025 00:45:00;39,354.59333;
02.01.2025 01:00:00;39,014.53333;
02.01.2025 01:15:00;39,460.28000;
02.01.2025 01:30:00;39,047.42667;
02.01.2025 01:45:00;39,525.86667;
02.01.2025 02:00:00;38,937.93333;
02.01.2025 02:15:00;39,875.77333;
02.01.2025 02:30:00;39,034.66000;
02.01.2025 02:45:00;38,961.15333;
02.01.2025 03:00:00;38,983.74000;
02.01.2025 03:15:00;39,224.77333;
02.01.2025 03:30:00;38,894.69333;
02.01.2025 03:45:00;38,949.56667;
02.01.2025 04:00:00;38,929.50000;
02.01.2025 04:15:00;38,922.14667;
02.01.2025 04:30:00;39,231.14000;
02.01.2025 04:45:00;39,234.28667;
02.01.2025 05:00:00;38,749.72000;
02.01.2025 05:15:00;38,873.16667;
02.01.2025 05:30:00;38,709.26667;
02.01.2025 05:45:00;38,906.63333;
02.01.2025 06:00:00;38,683.79333;
02.01.2025 06:15:00;39,311.02000;
02.01.2025 06:30:00;39,159.18667;
02.01.2025 06:45:00;39,151.94000;
02.01.2025 07:00:00;38,798.77333;
02.01.2025 07:15:00;38,850.54000;
02.01.2025 07:30:00;39,411.45333;
02.01.2025 07:45:00;39,081.73333;
02.01.2025 08:00:00;39,313.10667;
02.01.2025 08:15:00;38,951.86667;
02.01.2025 08:30:00;39,458.29333;
02.01.2025 08:45:00;38,918.84000;
02.01.2025 09:00:00;35,486.17333;
02.01.2025 09:15:00;-8,616.48000;
02.01.2025 09:30:00;-83,328.68000;
02.01.2025 09:45:00;-98,556.47333;
02.01.2025 10:00:00;-141,361.33333;
02.01.2025 10:15:00;-160,679.80000;
02.01.2025 10:30:00;-165,378.13333;
02.01.2025 10:45:00;-233,137.73333;
02.01.2025 11:00:00;-280,242.66667;
02.01.2025 11:15:00;-249,899.20000;
02.01.2025 11:30:00;-264,673.73333;
02.01.2025 11:45:00;-307,461.73333;
02.01.2025 12:00:00;-442,561.86667;
02.01.2025 12:15:00;-365,575.26667;
02.01.2025 12:30:00;-379,789.40000;
02.01.2025 12:45:00;-563,476.20000;
02.01.2025 13:00:00;-744,550.60000;
02.01.2025 13:15:00;-507,535.20000;
02.01.2025 13:30:00;-389,724.66667;
02.01.2025 13:45:00;-728,537.80000;
02.01.2025 14:00:00;-710,804.33333;
02.01.2025 14:15:00;-697,331.66667;
02.01.2025 14:30:00;-656,102.66667;
02.01.2025 14:45:00;-556,410.20000;
02.01.2025 15:00:00;-370,152.00000;
02.01.2025 15:15:00;-153,725.73333;
02.01.2025 15:30:00;-118,265.07333;
